cz90,civ_noninst_pop,civ_noninst_pop_employed,civ_noninst_pop_local,civ_noninst_pop_immigrant,civ_noninst_pop_employed_local,civ_noninst_pop_employed_immigrant,civ_noninst_pop_employed_central_america,civ_noninst_pop_employed_south_america,civ_noninst_pop_employed_mexico,civ_noninst_labforce,civ_noninst_labforce_local,civ_noninst_labforce_immigrant,civ_noninst_labforce_central_america,civ_noninst_labforce_south_america,civ_noninst_labforce_mexico,count,count_local,count_immigrant,count_central_america,count_south_america,count_mexico,county_prop_incz,county_prop_inpuma,EPOP,state_fips,state_abbv,states_count,states_abbv,cbsa10,cbsa_name
100,371855.31554335356,239909.0292416811,361661.7751301825,10193.540413171053,233280.56416103244,6628.465080648661,448.97159457206726,391.83582004904747,2165.937376230955,254267.384331882,247319.225127995,6948.159203886986,448.97159457206726,401.8344124853611,2196.582626312971,18598.86917614937,18137.347392201424,461.52178394794464,23.433588922023773,27.286854147911072,106.28538638353348,0.8607350591771935,4.09455443008163,64.51676746670326,47,TN,2,TN; VA,28700,"Kingsport-Bristol-Bristol, TN-VA"
200,168386,112622,158837,9549,105633,6989,1630,140,2862,120039,112609,7430,1724,140,3012,7182,6834,348,56,19,138,1.0000000298023224,2,66.8832325727792,47,TN,1,TN,42940,"Sevierville, TN"
301,39825.861520946026,21241.543200552464,39390.12124085426,435.74028009176254,21033.845015466213,207.6981850862503,8.81630825996399,5.836120069026947,28.779497623443604,23377.629501342773,23142.537787020206,235.091714322567,8.81630825996399,5.836120069026947,28.779497623443604,2046.322783112526,2020.2046297192574,26.118153393268585,0.9446044564247131,2.5751096606254578,2.2602415084838867,0.2783346843027914,0.15141526832190522,53.33605448655688,47,TN,2,KY; TN,33180,"Middlesborough, KY"
302,539395.3105506897,373349.3781733513,512063.7751159668,27331.5354347229,353675.75429201126,19673.623881340027,2104.954430580139,872.4191741943359,5100.991126060486,393684.4761195183,373563.2643890381,20121.211730480194,2129.3730969429016,958.5819931030273,5204.991126060486,26818.422020435333,25659.624958992004,1158.7970614433289,92.796546459198,61.40703582763672,206.8082628250122,0.9238614285887721,5.742606204588128,69.21628180122373,47,TN,1,TN,28940,"Knoxville, TN"
401,361428.1438880265,245654.29699990153,325712.8623921573,35715.28149586916,220895.9995470047,24758.297452896833,3200.336709856987,1080.8180480599403,12850.793229728937,259899.9666774571,234090.9258044064,25809.04087305069,3390.336709856987,1153.185498058796,13179.214553117752,17627.384014427662,16205.267392098904,1422.1166223287582,141.77734753489494,79.73389086127281,607.2655642330647,0.8386566435832226,3.920614409812644,67.96767245552613,37,NC,1,NC,49180,"Winston-Salem, NC"
402,48484.62150335312,31815.56921210885,46853.685556441545,1630.9359469115734,30569.41051825881,1246.1586938500404,257.5633533298969,28.66792106628418,504.3762362599373,34140.806372344494,32822.08200329542,1318.7243690490723,257.5633533298969,28.66792106628418,571.1187399923801,2572.0500431656837,2492.7653239667416,79.28471919894218,8.062852799892426,3.5834901332855225,27.7720485329628,0.4479362666606903,0.20064689898991706,65.619918699187,51,VA,1,VA,32300,"Martinsville, VA"
500,769077.9676966071,531913.0758616477,692880.2252505273,76197.74244607985,475769.0710951984,56144.00476644933,5676.600029274821,2308.885404780507,21136.376867085695,565351.639604792,506850.6433364898,58500.9962683022,5816.600029274821,2457.885404780507,21876.986944928765,36453.22035163641,33400.13078920543,3053.089562430978,255.4950290620327,149.59275774657726,1020.7336251735687,0.9158008953253389,7.782700669922951,69.1624384267216,37,NC,2,NC; VA,24660,"Greensboro-High Point, NC"
601,58824.63592365384,38735.25523784757,55307.553617313504,3517.082306340337,36336.017696887255,2399.237540960312,292.52593180537224,52.99932795763016,1440.8383630812168,40958.49498452246,38463.98358641565,2494.5113981068134,292.52593180537224,52.99932795763016,1497.7527908235788,3176.4393801242113,3017.594739496708,158.8446406275034,14.249527961015701,4.622417524456978,83.86169534921646,0.3822328557787551,0.24663459514024688,65.84869524414995,37,NC,1,NC,35900,"North Wilkesboro, NC"
602,37203.76027432084,24829.277788758278,36112.6289319396,1091.131342381239,24074.67668133974,754.6011074185371,94.5629275739193,19.540290743112564,438.13115724921227,26126.26523759961,25345.514539062977,780.7506985366344,94.5629275739193,19.540290743112564,450.9314425289631,1919.5245175361633,1872.7176509797573,46.80686655640602,4.399717032909393,1.3218600749969482,22.19620391726494,0.2369042351292343,0.07910469473743298,66.73862428335288,51,VA,2,NC; VA,NA,NA
700,256621.2404408455,173380.11335539818,238222.03003010154,18399.21041074395,160121.17521366477,13258.938141733408,1019.877652913332,635.7489114701748,5374.186916679144,184203.57977870107,170124.6426540017,14078.937124699354,1071.563572973013,818.3801730275154,5550.051084429026,12724.068996697664,11950.386895656586,773.6821010410786,43.39057406783104,65.06083655357361,227.38830175995827,0.856328776619412,2.3179956576041123,67.56265111085554,45,SC,2,NC; SC,43900,"Spartanburg, SC"
800,292989.32545030117,196979.04510104656,277499.0687765479,15490.256673753262,185527.72835963964,11451.316741406918,1132.302617251873,915.6573182940483,4483.392834842205,210233.85495454073,198398.42597460747,11835.428979933262,1132.302617251873,977.0260564088821,4763.9539694190025,15317.801840603352,14594.9320936203,722.8697469830513,70.96192425489426,75.92384850978851,237.62324899435043,0.9612018450959194,3.725398792267274,67.23079238409301,37,NC,1,NC,16740,"Charlotte-Concord-Gastonia, NC-SC"
900,1385235.0252345651,1020079.4279216379,1192881.414625913,192353.61060865223,877662.5490084589,142416.87891317904,18872.61936803162,12569.300389766693,33184.006756067276,1076700.2370997965,928395.1984188706,148305.03868092597,20207.69930666685,13056.578459858894,34359.50457800925,63532.81405708194,55891.38738667965,7641.426670402288,863.749792933464,724.4043485969305,1484.823389545083,0.9655353315988945,15.298985940097124,73.63944813255826,37,NC,2,NC; SC,16740,"Charlotte-Concord-Gastonia, NC-SC"
