soc_minor,civ_noninst_pop_employed,civ_noninst_pop_employed_local,civ_noninst_pop_employed_immigrant,civ_noninst_pop_employed_central_america,civ_noninst_pop_employed_south_america,civ_noninst_pop_employed_mexico,count,count_local,count_immigrant,count_central_america,count_south_america,count_mexico,minor_group,title
111,2048562,1779766,268796,8680,25165,27584,112380,98445,13935,385,1293,1214,11-1000,Top Executives
112,1076141,957650,118491,4169,13864,9932,57933,51595,6338,192,723,466,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
113,3007335,2558521,448814,18845,39594,47637,164891,141617,23274,859,2012,2227,11-3000,Operations Specialties Managers
119,8632596,7412564,1220032,67800,102966,225778,476140,417367,58773,2723,4769,9301,11-9000,Other Management Occupations
131,4583111,4015078,568033,21377,49468,59524,251130,221237,29893,1027,2553,2750,13-1000,Business Operations Specialists
132,3171023,2682814,488209,13870,37626,35519,174270,148139,26131,709,1960,1775,13-2000,Financial Specialists
1512,4413277,3271965,1141312,15247,45791,39264,233041,177698,55343,730,2261,1810,15-1200,Computer Occupations
152,275981,220017,55964,1316,2026,1689,15141,12338,2803,49,113,88,15-2000,Mathematical Science Occupations
171,220287,180232,40055,745,4783,2457,12181,10047,2134,40,235,100,17-1000,"Architects, Surveyors, and Cartographers"
172,1949565,1529080,420485,6976,24631,22699,104853,84036,20817,305,1123,1032,17-2000,Engineers
173,615159,532085,83074,3605,6258,14279,35199,30792,4407,170,327,649,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians"
191,260988,184522,76466,664,3685,1459,15191,11102,4089,40,184,73,19-1000,Life Scientists
192,434214,298145,136069,1171,5730,2775,23929,16772,7157,55,306,123,19-2000,Physical Scientists
193,264881,233477,31404,945,3767,1764,15075,13318,1757,48,202,102,19-3000,Social Scientists and Related Workers
194,360524,308340,52184,1914,3307,7477,22544,19542,3002,98,189,358,19-4000,"Life, Physical, and Social Science Technicians"
195,64814,58619,6195,469,434,1281,3524,3224,300,16,22,52,19-5000,Occupational Health and Safety Specialists and Technicians
211,1979654,1785725,193929,11684,18768,32832,107898,98220,9678,595,979,1566,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists"
212,493055,427165,65890,5123,6396,8014,30542,26599,3943,222,387,467,21-2000,Religious Workers
231,1009038,928630,80408,2032,6135,3485,56394,52027,4367,100,347,159,23-1000,"Lawyers, Judges, and Related Workers"
232,518694,464584,54110,4061,6571,7646,28814,25877,2937,183,345,389,23-2000,Legal Support Workers
251,1265103,954931,310172,3751,19129,10062,75031,57827,17204,211,1059,581,25-1000,Postsecondary Teachers
252,5122799,4727666,395133,20015,44104,65380,305697,283321,22376,1023,2349,3437,25-2000,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers"
253,816030,715729,100301,4024,9223,13454,53085,46645,6440,204,543,663,25-3000,Other Teachers and Instructors
254,255543,235357,20186,462,1165,2055,16533,15267,1266,24,72,107,25-4000,"Librarians, Curators, and Archivists"
259,1263921,1088577,175344,9399,18029,37157,80854,70685,10169,562,966,2037,25-9000,Other Educational Instruction and Library Occupations
271,1049493,885303,164190,7277,17970,19918,60608,51665,8943,334,958,950,27-1000,Art and Design Workers
272,732360,648872,83488,2548,9378,10081,47899,43006,4893,144,498,464,27-2000,"Entertainers and Performers, Sports and Related Workers"
273,801043,700161,100882,4694,11657,14243,47438,41492,5946,251,644,690,27-3000,Media and Communication Workers
274,328286,291065,37221,1537,5263,4798,19792,17708,2084,77,249,235,27-4000,Media and Communication Equipment Workers
291,6005887,5013752,992135,18730,51472,36282,325428,276438,48990,881,2578,1706,29-1000,Healthcare Diagnosing or Treating Practitioners
292,2717633,2360139,357494,14489,22186,37045,144449,127549,16900,691,1082,1661,29-2000,Health Technologists and Technicians
299,83658,74873,8785,389,594,1082,4568,4124,444,14,33,44,29-9000,Other Healthcare Practitioners and Technical Occupations
3111,3239631,2429094,810537,41635,44939,124679,170030,133186,36844,1999,2169,6166,31-1100,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides"
312,133460,120645,12815,434,936,1433,7784,7128,656,25,53,68,31-2000,Occupational Therapy and Physical Therapist Assistants and Aides
319,1420613,1204665,215948,14497,19837,46120,74077,63750,10327,678,921,2032,31-9000,Other Healthcare Support Occupations
331,273231,258559,14672,655,1593,2532,16375,15662,713,29,65,123,33-1000,Supervisors of Protective Service Workers
332,315602,305663,9939,1012,1180,2244,17226,16705,521,51,53,110,33-2000,Firefighting and Prevention Workers
333,1286008,1205592,80416,4930,7135,15282,68300,64537,3763,219,328,690,33-3000,Law Enforcement Workers
339,1242399,1095838,146561,9026,11450,22514,74105,67200,6905,412,565,997,33-9000,Other Protective Service Workers
351,1022051,776402,245649,19682,16357,71645,49370,38905,10465,733,672,2665,35-1000,Supervisors of Food Preparation and Serving Workers
