state_fips,state,civ_noninst_pop,civ_noninst_pop_employed,civ_noninst_pop_local,civ_noninst_pop_immigrant,civ_noninst_pop_employed_local,civ_noninst_pop_employed_immigrant,civ_noninst_pop_employed_central_america,civ_noninst_pop_employed_south_america,civ_noninst_pop_employed_mexico,civ_noninst_labforce,civ_noninst_labforce_local,civ_noninst_labforce_immigrant,civ_noninst_labforce_central_america,civ_noninst_labforce_south_america,civ_noninst_labforce_mexico,count,count_local,count_immigrant,count_central_america,count_south_america,count_mexico,EPOP
01,Alabama,3045486,1971413,2907870,137616,1875856,95557,11426,3667,31947,2100860,2002395,98465,11894,3805,33127,142545,137334,5211,507,229,1422,64.73229560076781
02,Alaska,466405,327584,420204,46201,291607,35977,961,1350,3163,354097,317192,36905,964,1376,3178,20108,18605,1503,23,47,115,70.23595373119927
04,Arizona,4297678,2952494,3554643,743035,2441219,511275,18629,10815,299012,3139209,2602498,536711,19320,11466,313959,200118,170383,29735,1009,671,15815,68.69974902726543
05,Arkansas,1839027,1228146,1714113,124914,1137213,90933,15277,1887,41903,1297229,1203818,93411,15618,1955,42866,87602,83221,4381,644,135,1808,66.78238003030951
06,California,25403549,17628202,17076433,8327116,11678621,5949581,551201,150233,2424872,18778124,12519821,6258303,578995,157180,2565941,1186223,809607,376616,31284,9349,141671,69.39267422831354
08,Colorado,3638556,2749069,3191948,446608,2417250,331819,17699,13481,147818,2876212,2531634,344578,18313,14027,153871,172609,155624,16985,698,719,6197,75.55384608619462
09,Connecticut,2295631,1688362,1888650,406981,1383369,304993,21557,58823,18240,1799450,1475966,323484,23363,62304,19439,110890,93797,17093,891,2735,780,73.54675032703427
10,Delaware,592020,421327,518973,73047,367368,53959,4559,2879,11423,445264,388884,56380,4951,2995,11965,26561,23794,2767,225,175,478,71.16769703726226
11,District of Columbia,488003,356017,407756,80247,293653,62364,12303,5684,2823,383106,317563,65543,12888,5868,2935,23470,20067,3403,467,322,127,72.95385479187628
12,Florida,12760291,8878585,9551314,3208977,6523634,2354951,245267,484776,181106,9416172,6942180,2473992,255977,507169,188140,579834,450458,129376,11700,27184,8427,69.57980033527448
13,Georgia,6624432,4589246,5741198,883234,3939426,649820,59869,45704,169534,4872055,4196883,675172,62166,47536,174790,303289,268619,34670,2741,2522,7644,69.27757730776011
15,Hawaii,846236,624633,664971,181265,488636,135997,975,2125,3874,652023,511343,140680,1047,2247,3930,41144,33211,7933,44,127,157,73.81309705566768
16,Idaho,1045568,747482,965336,80232,688586,58896,1413,2837,35463,782329,721500,60829,1592,2877,36370,47588,44769,2819,69,127,1472,71.49051998530942
17,Illinois,8165960,5907716,6727477,1438483,4841749,1065967,35696,37640,417289,6288644,5174274,1114370,37286,39489,437397,390255,335821,54434,1674,1945,18606,72.34563970433359
18,Indiana,4187943,3017446,3899995,287948,2818501,198945,13175,6955,68152,3175312,2966577,208735,14055,7458,71055,203155,192722,10433,633,403,3145,72.0507896119885
19,Iowa,1945887,1513718,1805609,140278,1411918,101800,7378,2220,29493,1575114,1467118,107996,7985,2278,31348,95303,91160,4143,316,102,1118,77.7906425193241
20,Kansas,1791974,1346565,1615584,176390,1217836,128729,11624,4142,55848,1407949,1272944,135005,12356,4233,58203,85852,79930,5922,423,208,2440,75.144226422928
21,Kentucky,2786193,1868192,2645394,140799,1765824,102368,8524,3631,22939,1978935,1872184,106751,8736,3909,23369,135238,129776,5462,361,250,897,67.05177997360556
22,Louisiana,2900718,1911108,2752353,148365,1807660,103448,26330,5526,17764,2047893,1939685,108208,27594,5884,18378,130485,124309,6176,1237,362,843,65.88396390135132
23,Maine,839819,616098,806423,33396,593123,22975,568,1210,505,643324,619413,23911,605,1250,533,38621,37314,1307,27,56,25,73.36080750733194
24,Maryland,3854080,2879221,3119914,734166,2306107,573114,127411,42504,26341,3037587,2438332,599255,132665,44225,27493,184320,153598,30722,5373,2292,1233,74.70579230322151
25,Massachusetts,4506993,3367164,3589842,917151,2676162,691002,59345,96443,9790,3540498,2815937,724561,62386,100635,10071,222498,183464,39034,2395,4264,488,74.70976768768
26,Michigan,6315623,4406779,5787898,527725,4044597,362182,8494,9104,52436,4688420,4309360,379060,8619,9651,54542,301914,282257,19657,398,557,2374,69.77584000818288
27,Minnesota,3525172,2800185,3136744,388428,2507893,292292,13904,13890,43943,2908519,2600535,307984,15072,14732,46717,166719,156771,9948,368,508,1386,79.43399641208995
