state_fips,state,soc_minor,civ_noninst_pop_employed,civ_noninst_pop_employed_local,civ_noninst_pop_employed_immigrant,civ_noninst_pop_employed_central_america,civ_noninst_pop_employed_south_america,civ_noninst_pop_employed_mexico,count,count_local,count_immigrant,count_central_america,count_south_america,count_mexico,minor_group,title
01,Alabama,111,21726,21056,670,11,70,0,1175,1137,38,2,5,1,11-1000,Top Executives
01,Alabama,112,9659,9384,275,0,21,15,489,474,15,0,3,1,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
01,Alabama,113,37708,36041,1667,97,54,60,2031,1947,84,4,4,4,11-3000,Operations Specialties Managers
01,Alabama,119,101662,97026,4636,434,119,1425,5512,5308,204,16,6,48,11-9000,Other Management Occupations
01,Alabama,131,49822,47730,2092,179,129,323,2636,2548,88,8,8,11,13-1000,Business Operations Specialists
01,Alabama,132,34414,33131,1283,17,27,119,1927,1862,65,1,4,5,13-2000,Financial Specialists
01,Alabama,1512,45535,43023,2512,75,113,312,2263,2158,105,3,4,9,15-1200,Computer Occupations
01,Alabama,152,1682,1623,59,0,0,0,108,103,5,0,0,0,15-2000,Mathematical Science Occupations
01,Alabama,171,2020,1888,132,0,35,0,110,105,5,0,1,0,17-1000,"Architects, Surveyors, and Cartographers"
01,Alabama,172,29387,27066,2321,96,170,161,1549,1443,106,4,5,10,17-2000,Engineers
01,Alabama,173,9508,9324,184,0,0,25,531,516,15,0,0,5,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians"
01,Alabama,191,2395,1965,430,0,28,99,117,100,17,0,1,2,19-1000,Life Scientists
01,Alabama,192,3725,3060,665,0,0,27,185,153,32,0,0,1,19-2000,Physical Scientists
01,Alabama,193,1295,1258,37,0,37,0,83,81,2,0,1,0,19-3000,Social Scientists and Related Workers
01,Alabama,194,5309,5072,237,0,0,120,275,262,13,0,1,1,19-4000,"Life, Physical, and Social Science Technicians"
01,Alabama,195,1049,943,106,45,42,0,61,58,3,1,1,0,19-5000,Occupational Health and Safety Specialists and Technicians
01,Alabama,211,22908,22343,565,62,19,0,1234,1209,25,2,2,2,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists"
01,Alabama,212,10986,10537,449,32,22,196,650,622,28,1,4,7,21-2000,Religious Workers
01,Alabama,231,9983,9902,81,0,0,52,579,575,4,0,0,1,23-1000,"Lawyers, Judges, and Related Workers"
01,Alabama,232,5795,5753,42,0,0,4,320,315,5,0,1,2,23-2000,Legal Support Workers
01,Alabama,251,17931,13990,3941,0,200,68,1008,843,165,0,8,4,25-1000,Postsecondary Teachers
01,Alabama,252,75258,74175,1083,46,76,295,4591,4521,70,4,5,8,25-2000,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers"
01,Alabama,253,11007,10725,282,0,22,22,721,697,24,3,2,2,25-3000,Other Teachers and Instructors
01,Alabama,254,2975,2953,22,0,0,0,185,184,1,0,0,0,25-4000,"Librarians, Curators, and Archivists"
01,Alabama,259,12575,12045,530,4,75,39,836,803,33,1,5,2,25-9000,Other Educational Instruction and Library Occupations
01,Alabama,271,8321,8058,263,0,76,0,511,501,10,0,3,0,27-1000,Art and Design Workers
01,Alabama,272,7316,7092,224,0,26,14,489,476,13,0,2,2,27-2000,"Entertainers and Performers, Sports and Related Workers"
01,Alabama,273,7153,6763,390,0,99,66,408,394,14,2,2,3,27-3000,Media and Communication Workers
01,Alabama,274,2793,2726,67,0,0,0,169,167,2,0,0,0,27-4000,Media and Communication Equipment Workers
01,Alabama,291,92084,88292,3792,49,175,137,5004,4809,195,5,9,4,29-1000,Healthcare Diagnosing or Treating Practitioners
01,Alabama,292,44233,42904,1329,0,92,174,2466,2403,63,1,5,8,29-2000,Health Technologists and Technicians
01,Alabama,299,1043,1028,15,0,0,0,56,54,2,0,0,0,29-9000,Other Healthcare Practitioners and Technical Occupations
01,Alabama,3111,35531,34794,737,12,0,117,1892,1855,37,1,0,6,31-1100,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides"
01,Alabama,312,2790,2767,23,2,0,0,166,164,2,1,0,0,31-2000,Occupational Therapy and Physical Therapist Assistants and Aides
01,Alabama,319,16364,15992,372,0,8,11,865,848,17,1,1,1,31-9000,Other Healthcare Support Occupations
01,Alabama,331,4570,4514,56,0,0,0,274,270,4,1,0,0,33-1000,Supervisors of Protective Service Workers
01,Alabama,332,5945,5837,108,10,0,73,298,294,4,1,0,2,33-2000,Firefighting and Prevention Workers
01,Alabama,333,16229,16178,51,7,0,14,885,881,4,1,0,1,33-3000,Law Enforcement Workers
01,Alabama,339,15393,15210,183,32,0,21,940,925,15,1,0,1,33-9000,Other Protective Service Workers
01,Alabama,351,12741,11637,1104,48,46,284,640,602,38,1,3,8,35-1000,Supervisors of Food Preparation and Serving Workers
01,Alabama,352,44574,40845,3729,355,194,2038,2690,2550,140,17,7,62,35-2000,Cooks and Food Preparation Workers
01,Alabama,353,41338,38732,2606,281,82,1073,2360,2257,103,9,3,40,35-3000,Food and Beverage Serving Workers
01,Alabama,359,11249,10451,798,156,0,414,754,718,36,6,1,15,35-9000,Other Food Preparation and Serving Related Workers
01,Alabama,371,5842,5650,192,31,60,74,286,272,14,3,3,6,37-1000,Supervisors of Building and Grounds Cleaning and Maintenance Workers
01,Alabama,372,51202,46769,4433,707,448,2552,3121,2941,180,31,12,93,37-2000,Building Cleaning and Pest Control Workers
01,Alabama,373,18376,16458,1918,582,11,1163,1088,1023,65,13,1,43,37-3000,Grounds Maintenance Workers
01,Alabama,391,1164,1060,104,0,0,57,56,51,5,0,0,1,39-1000,Supervisors of Personal Care and Service Workers
01,Alabama,392,3379,3281,98,0,17,1,213,206,7,0,1,2,39-2000,Animal Care and Service Workers
01,Alabama,393,2861,2819,42,0,0,0,186,181,5,0,0,0,39-3000,Entertainment Attendants and Related Workers
01,Alabama,394,615,615,0,0,0,0,44,44,0,0,0,0,39-4000,Funeral Service Workers
01,Alabama,395,16340,13835,2505,5,8,266,836,725,111,1,2,10,39-5000,Personal Appearance Workers
01,Alabama,396,302,302,0,0,0,0,11,11,0,0,0,0,39-6000,"Baggage Porters, Bellhops, and Concierges"
01,Alabama,397,427,411,16,0,0,0,35,34,1,0,0,0,39-7000,Tour and Travel Guides
01,Alabama,399,20851,20090,761,161,45,25,1605,1555,50,4,4,4,39-9000,Other Personal Care and Service Workers
01,Alabama,411,59764,57313,2451,139,58,277,3252,3150,102,3,4,10,41-1000,Supervisors of Sales Workers
01,Alabama,412,94326,91143,3183,368,66,339,6037,5860,177,10,4,26,41-2000,Retail Sales Workers
01,Alabama,413,16736,16359,377,18,0,0,884,870,14,1,1,0,41-3000,"Sales Representatives, Services"
01,Alabama,414,17359,17085,274,4,0,0,914,901,13,1,1,0,41-4000,"Sales Representatives, Wholesale and Manufacturing"
01,Alabama,419,13051,12814,237,0,16,17,747,730,17,0,1,4,41-9000,Other Sales and Related Workers
01,Alabama,431,17200,16899,301,0,52,17,985,968,17,0,1,1,43-1000,Supervisors of Office and Administrative Support Workers
01,Alabama,432,1376,1353,23,0,0,0,86,84,2,0,0,1,43-2000,Communications Equipment Operators
01,Alabama,433,32834,32147,687,88,43,131,1936,1903,33,5,2,5,43-3000,Financial Clerks
01,Alabama,434,64739,63397,1342,61,134,290,3699,3624,75,3,6,13,43-4000,Information and Record Clerks
