ers90,state_fips,state_abbv,states_count,states_abbv,cbsa10,cbsa_name
100,47,TN,2,TN; VA,28700,"Kingsport-Bristol-Bristol, TN-VA"
200,47,TN,1,TN,42940,"Sevierville, TN"
301,47,TN,2,KY; TN,33180,"Middlesborough, KY"
302,47,TN,1,TN,28940,"Knoxville, TN"
401,37,NC,1,NC,49180,"Winston-Salem, NC"
402,51,VA,1,VA,32300,"Martinsville, VA"
500,37,NC,2,NC; VA,24660,"Greensboro-High Point, NC"
601,37,NC,1,NC,35900,"North Wilkesboro, NC"
602,51,VA,2,NC; VA,NA,NA
700,45,SC,2,NC; SC,43900,"Spartanburg, SC"
800,37,NC,1,NC,16740,"Charlotte-Concord-Gastonia, NC-SC"
900,37,NC,2,NC; SC,16740,"Charlotte-Concord-Gastonia, NC-SC"
1001,37,NC,2,NC; TN,14380,"Boone, NC"
1002,37,NC,1,NC,25860,"Hickory-Lenoir-Morganton, NC"
1100,37,NC,1,NC,25860,"Hickory-Lenoir-Morganton, NC"
1201,37,NC,2,GA; NC,NA,NA
1202,37,NC,1,NC,19000,"Cullowhee, NC"
1203,37,NC,1,NC,11700,"Asheville, NC"
1204,37,NC,2,GA; NC,NA,NA
1301,45,SC,1,SC,NA,NA
1302,45,SC,1,SC,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC"
1400,37,NC,1,NC,22180,"Fayetteville, NC"
1500,37,NC,1,NC,48900,"Wilmington, NC"
1600,37,NC,1,NC,40580,"Rocky Mount, NC"
1701,37,NC,1,NC,39580,"Raleigh, NC"
1702,37,NC,1,NC,25780,"Henderson, NC"
1800,37,NC,1,NC,24140,"Goldsboro, NC"
1900,37,NC,1,NC,27340,"Jacksonville, NC"
2000,51,VA,2,NC; VA,47260,"Virginia Beach-Norfolk-Newport News, VA-NC"
2100,37,NC,1,NC,47820,"Washington, NC"
2200,51,VA,2,VA; NA,NA,NA
2300,51,VA,2,VA; NA,31340,"Lynchburg, VA"
2400,51,VA,1,VA,40060,"Richmond, VA"
2500,51,VA,1,VA,47260,"Virginia Beach-Norfolk-Newport News, VA-NC"
2600,37,NC,2,NC; VA,40260,"Roanoke Rapids, NC"
2700,28,MS,1,MS,25060,"Gulfport-Biloxi-Pascagoula, MS"
2800,28,MS,1,MS,29860,"Laurel, MS"
2900,28,MS,1,MS,25620,"Hattiesburg, MS"
3001,28,MS,1,MS,NA,NA
3002,28,MS,1,MS,27140,"Jackson, MS"
3003,28,MS,1,MS,27140,"Jackson, MS"
3101,28,MS,1,MS,32620,"McComb, MS"
3102,28,MS,1,MS,15020,"Brookhaven, MS"
3201,22,LA,1,LA,NA,NA
3202,28,MS,2,LA; MS,35020,"Natchez, MS-LA"
3203,28,MS,2,LA; MS,46980,"Vicksburg, MS"
3300,22,LA,1,LA,35380,"New Orleans-Metairie, LA"
3400,22,LA,1,LA,26380,"Houma-Thibodaux, LA"
